project_id,visual_group_id,set_id,file_id,region_index,filename
nls-chapbooks-illustrations,illustration-group,0,3487,0,"104185878/image/108631341.3.jpg"
nls-chapbooks-illustrations,illustration-group,0,1817,1,"104185227/image/108771632.3.jpg"
nls-chapbooks-illustrations,illustration-group,1,145,0,"104185876/image/108631917.3.jpg"
nls-chapbooks-illustrations,illustration-group,1,1077,0,"104186990/image/108870800.3.jpg"
nls-chapbooks-illustrations,illustration-group,1,1391,0,"104185972/image/108700592.3.jpg"
nls-chapbooks-illustrations,illustration-group,1,2470,0,"104185960/image/108701936.3.jpg"
nls-chapbooks-illustrations,illustration-group,1,3432,0,"104185493/image/108497217.3.jpg"
nls-chapbooks-illustrations,illustration-group,1,3432,1,"104185493/image/108497217.3.jpg"
nls-chapbooks-illustrations,illustration-group,1,2470,4,"104185960/image/108701936.3.jpg"
nls-chapbooks-illustrations,illustration-group,2,1004,0,"104186191/image/108607317.3.jpg"
nls-chapbooks-illustrations,illustration-group,2,3419,0,"104186223/image/108598485.3.jpg"
nls-chapbooks-illustrations,illustration-group,2,3446,0,"104186250/image/108595893.3.jpg"
nls-chapbooks-illustrations,illustration-group,2,469,1,"104186239/image/108596949.3.jpg"
nls-chapbooks-illustrations,illustration-group,2,3470,2,"104186227/image/108598101.3.jpg"
nls-chapbooks-illustrations,illustration-group,2,2985,2,"104186224/image/108598389.3.jpg"
nls-chapbooks-illustrations,illustration-group,2,2397,2,"104186228/image/108598005.3.jpg"
nls-chapbooks-illustrations,illustration-group,3,3410,0,"104186938/image/108871736.3.jpg"
nls-chapbooks-illustrations,illustration-group,3,3412,0,"104186800/image/108568725.3.jpg"
nls-chapbooks-illustrations,illustration-group,4,259,0,"104185973/image/108700304.3.jpg"
nls-chapbooks-illustrations,illustration-group,4,669,0,"104185998/image/108966512.3.jpg"
nls-chapbooks-illustrations,illustration-group,4,1978,0,"104185186/image/108783464.3.jpg"
nls-chapbooks-illustrations,illustration-group,4,2092,0,"104186059/image/108961328.3.jpg"
nls-chapbooks-illustrations,illustration-group,4,2157,0,"104185237/image/108768752.3.jpg"
nls-chapbooks-illustrations,illustration-group,4,2467,0,"104185187/image/108783152.3.jpg"
nls-chapbooks-illustrations,illustration-group,4,2694,0,"104186060/image/108961040.3.jpg"
nls-chapbooks-illustrations,illustration-group,4,2805,0,"104186049/image/108682736.3.jpg"
nls-chapbooks-illustrations,illustration-group,4,2980,0,"104185974/image/108967664.3.jpg"
nls-chapbooks-illustrations,illustration-group,4,3364,0,"104185239/image/108768176.3.jpg"
nls-chapbooks-illustrations,illustration-group,4,3602,0,"104186057/image/108961904.3.jpg"
nls-chapbooks-illustrations,illustration-group,4,259,2,"104185973/image/108700304.3.jpg"
nls-chapbooks-illustrations,illustration-group,4,2980,4,"104185974/image/108967664.3.jpg"
nls-chapbooks-illustrations,illustration-group,4,2694,9,"104186060/image/108961040.3.jpg"
nls-chapbooks-illustrations,illustration-group,5,3302,0,"104186089/image/108622413.3.jpg"
nls-chapbooks-illustrations,illustration-group,5,3306,0,"104186089/image/108622545.3.jpg"
nls-chapbooks-illustrations,illustration-group,6,123,0,"104186787/image/108569973.3.jpg"
nls-chapbooks-illustrations,illustration-group,6,214,0,"104186788/image/108569877.3.jpg"
nls-chapbooks-illustrations,illustration-group,6,850,0,"104186770/image/117655580.3.jpg"
nls-chapbooks-illustrations,illustration-group,6,888,0,"104186583/image/108918200.3.jpg"
nls-chapbooks-illustrations,illustration-group,6,910,0,"104186856/image/108879680.3.jpg"
nls-chapbooks-illustrations,illustration-group,6,1007,0,"104187200/image/108527661.3.jpg"
nls-chapbooks-illustrations,illustration-group,6,1107,0,"104186830/image/108887168.3.jpg"
nls-chapbooks-illustrations,illustration-group,6,3086,0,"104186786/image/108570069.3.jpg"
nls-chapbooks-illustrations,illustration-group,6,3294,0,"104187169/image/108864824.3.jpg"
nls-chapbooks-illustrations,illustration-group,6,3384,0,"104186809/image/108567861.3.jpg"
nls-chapbooks-illustrations,illustration-group,6,3447,0,"104186776/image/108890408.3.jpg"
nls-chapbooks-illustrations,illustration-group,7,2619,0,"104187199/image/108527757.3.jpg"
nls-chapbooks-illustrations,illustration-group,7,3235,0,"104186815/image/108567309.3.jpg"
nls-chapbooks-illustrations,illustration-group,7,3374,0,"104187221/image/108858200.3.jpg"
nls-chapbooks-illustrations,illustration-group,8,3218,0,"104186639/image/108908036.3.jpg"
nls-chapbooks-illustrations,illustration-group,8,2049,1,"104184613/image/117861985.3.jpg"
nls-chapbooks-illustrations,illustration-group,9,3153,0,"104186409/image/108935408.3.jpg"
nls-chapbooks-illustrations,illustration-group,9,3493,0,"104186330/image/108591549.3.jpg"
nls-chapbooks-illustrations,illustration-group,10,3150,0,"104186409/image/108935360.3.jpg"
nls-chapbooks-illustrations,illustration-group,10,3496,0,"104186330/image/108591501.3.jpg"
nls-chapbooks-illustrations,illustration-group,11,248,0,"104184250/image/108855704.3.jpg"
nls-chapbooks-illustrations,illustration-group,11,901,0,"104186950/image/108561165.3.jpg"
nls-chapbooks-illustrations,illustration-group,11,1844,0,"104186524/image/108928520.3.jpg"
nls-chapbooks-illustrations,illustration-group,11,1983,0,"104185370/image/108500925.3.jpg"
nls-chapbooks-illustrations,illustration-group,11,2072,0,"104185332/image/108651117.3.jpg"
nls-chapbooks-illustrations,illustration-group,11,2347,0,"104185315/image/108755360.3.jpg"
nls-chapbooks-illustrations,illustration-group,11,2440,0,"104184235/image/108857144.3.jpg"
nls-chapbooks-illustrations,illustration-group,11,2571,0,"104185692/image/108725456.3.jpg"
nls-chapbooks-illustrations,illustration-group,11,3149,0,"104186409/image/108935144.3.jpg"
nls-chapbooks-illustrations,illustration-group,11,3165,0,"104185311/image/108756464.3.jpg"
nls-chapbooks-illustrations,illustration-group,11,3494,0,"104186330/image/108591285.3.jpg"
nls-chapbooks-illustrations,illustration-group,11,3625,0,"104185702/image/108724496.3.jpg"
