file_id,filename,chapbook_id,place_printed,place_printed_nation,place_published,place_sold,publisher,printer,bookseller,date,volume,item,imprint,nls_digital_chapbook_page_id,assigned_date,assigned_printer,assigned_publisher,assigned_place_printed,assigned_place_published,assigned_place_sold
2053,104187052/image/108540333.3.jpg,104187052,Glasgow,Scotland,,,,R. Hutchison & Co.,,[1804-1819?],L.C.2889,L.C.2889(31),"Published and sold wholesale and retail, by R. Hutchison & Co. 10, Saltmarket",108540331,,,,,,
2054,104185924/image/108704528.3.jpg,104185924,Glasgow,Scotland,,,,,,[1840-1850?],L.C.2851,L.C.2851(42),Printed for the booksellers,108704526,,,,,,
2055,104185245/image/108504285.3.jpg,104185245,Hatton of Fintray,Scotland,,,,,,[1870-1885?],L.C.2830,L.C.2830(23),Printed for the booksellers,108504283,,,,,,
2056,104184905/image/108518373.3.jpg,104184905,Falkirk,Scotland,,,,"Johnston, Thomas (Printer in Falkirk)",,1815,L.C.2823,L.C.2823(39),"T. Johnston, Printer",108518371,,,,,,
2057,104186015/image/108691952.3.jpg,104186015,Glasgow,Scotland,,,,,,[1840-1850?],L.C.2852.E,L.C.2852.E(12),Printed for the booksellers,108691950,,,,,,
2058,104185256/image/108504081.3.jpg,104185256,Hatton of Fintray,Scotland,,,,,,[1870-1885?],L.C.2830,L.C.2830(5),Printed for the booksellers,108504079,,,,,,
2059,104185256/image/108503997.3.jpg,104185256,Hatton of Fintray,Scotland,,,,,,[1870-1885?],L.C.2830,L.C.2830(5),Printed for the booksellers,108503995,,,,,,
2060,104185579/image/108731408.3.jpg,104185579,Glasgow,Scotland,,,,,,[1820-1830?],L.C.2844,L.C.2844(20),Printed for the booksellers,108731406,,,,,,
2061,104186885/image/108877544.3.jpg,104186885,Stirling,Scotland,,,,J. Fraser & Co.,,[1816-1820?],L.C.2877,L.C.2877(13),"Sold wholesale by J. Fraser & Co. printers, Stirling",108877542,,,,,,
2062,104185569/image/108734288.3.jpg,104185569,,,Glasgow,,James Lumsden & Son,,,1822,L.C.2844,L.C.2844(11),Published by J. Lumsden & Son,108734286,,,,,,
2063,104185185/image/108783752.3.jpg,104185185,Glasgow,Scotland,,,,,,[1840-1850?],L.C.2852.B,L.C.2852.B(21),Printed for the booksellers,108783750,,,,,,
2064,104185813/image/108973544.3.jpg,104185813,Glasgow,Scotland,,,,,,[ca. 1825],L.C.2850,L.C.2850(9),"Printed for the bookse[llers,]",108973542,,,,,,
2065,104185388/image/108753680.3.jpg,104185388,Glasgow,Scotland,,,,J. & M. Robertson,,1802,L.C.2836,L.C.2836(11),"Printed by J. & M. Robertson, Saltmarket",108753678,,,,,,
2066,104184571/image/107731347.3.jpg,104184571,Edinburgh,Scotland,,,,,,[1780?],L.C.2812,L.C.2812(18),Printed this present year.,107731345,,,,,,
